subid,trial.type,m,sub_filter,reason_removed
2,implicature,0.3559322033898305,remove,accuracy below threshold
2,unambiguous,0.6896551724137931,remove,accuracy below threshold
2,control,0.9922480620155039,remove,accuracy below threshold
2,inhib,0.9583333333333334,remove,accuracy below threshold
2,negative,0.8297872340425532,remove,accuracy below threshold
2,positive,0.7592592592592593,remove,accuracy below threshold
5,implicature,0.9166666666666666,remove,accuracy below threshold
5,unambiguous,0.9166666666666666,remove,accuracy below threshold
5,control,0.9770992366412213,remove,accuracy below threshold
5,inhib,0.875,remove,accuracy below threshold
5,negative,0.08333333333333333,remove,accuracy below threshold
5,positive,0.9830508474576272,remove,accuracy below threshold
7,implicature,0.4666666666666667,remove,accuracy below threshold
7,unambiguous,0.8333333333333334,remove,accuracy below threshold
7,control,1,remove,accuracy below threshold
7,inhib,1,remove,accuracy below threshold
7,negative,0.8333333333333334,remove,accuracy below threshold
7,positive,0.8833333333333333,remove,accuracy below threshold
18,implicature,0.4666666666666667,remove,accuracy below threshold
18,unambiguous,0.9491525423728814,remove,accuracy below threshold
18,control,0.9921259842519685,remove,accuracy below threshold
18,inhib,0.8333333333333334,remove,accuracy below threshold
18,negative,0.9642857142857143,remove,accuracy below threshold
18,positive,0.847457627118644,remove,accuracy below threshold
48,implicature,0.2,remove,accuracy below threshold
48,unambiguous,0.9833333333333333,remove,accuracy below threshold
48,control,0.9692307692307692,remove,accuracy below threshold
48,inhib,0.9166666666666666,remove,accuracy below threshold
48,negative,1,remove,accuracy below threshold
48,positive,0.9333333333333333,remove,accuracy below threshold
50,implicature,0.5,remove,accuracy below threshold
50,unambiguous,0.9491525423728814,remove,accuracy below threshold
50,control,0.9847328244274809,remove,accuracy below threshold
50,inhib,0.875,remove,accuracy below threshold
50,negative,0.8813559322033898,remove,accuracy below threshold
50,positive,0.8666666666666667,remove,accuracy below threshold
51,implicature,0.576271186440678,remove,accuracy below threshold
51,unambiguous,0.9666666666666667,remove,accuracy below threshold
51,control,0.9847328244274809,remove,accuracy below threshold
51,inhib,0.8333333333333334,remove,accuracy below threshold
51,negative,0.9830508474576272,remove,accuracy below threshold
51,positive,0.9661016949152542,remove,accuracy below threshold
52,implicature,0.9333333333333333,remove,accuracy below threshold
52,unambiguous,0.9830508474576272,remove,accuracy below threshold
52,control,0.9847328244274809,remove,accuracy below threshold
52,inhib,0.5652173913043478,remove,accuracy below threshold
52,negative,0.8793103448275862,remove,accuracy below threshold
52,positive,0.9137931034482759,remove,accuracy below threshold
60,implicature,0.22033898305084745,remove,accuracy below threshold
60,unambiguous,0.8305084745762712,remove,accuracy below threshold
60,control,0.9621212121212122,remove,accuracy below threshold
60,inhib,0.8333333333333334,remove,accuracy below threshold
60,negative,0.7966101694915254,remove,accuracy below threshold
60,positive,0.8813559322033898,remove,accuracy below threshold
61,implicature,0.8666666666666667,remove,accuracy below threshold
61,unambiguous,0.9166666666666666,remove,accuracy below threshold
61,control,0.9924242424242424,remove,accuracy below threshold
61,inhib,0.9583333333333334,remove,accuracy below threshold
61,negative,0.03333333333333333,remove,accuracy below threshold
61,positive,0.9333333333333333,remove,accuracy below threshold
71,implicature,0.7166666666666667,remove,accuracy below threshold
71,unambiguous,0.9666666666666667,remove,accuracy below threshold
71,control,0.9307692307692308,remove,accuracy below threshold
71,inhib,0.5416666666666666,remove,accuracy below threshold
71,negative,0.847457627118644,remove,accuracy below threshold
71,positive,0.8666666666666667,remove,accuracy below threshold
76,implicature,0.4166666666666667,remove,accuracy below threshold
76,unambiguous,0.95,remove,accuracy below threshold
76,control,0.9541984732824428,remove,accuracy below threshold
76,inhib,0.9583333333333334,remove,accuracy below threshold
76,negative,0.8135593220338984,remove,accuracy below threshold
76,positive,0.8666666666666667,remove,accuracy below threshold
77,implicature,0.38333333333333336,remove,accuracy below threshold
77,unambiguous,0.8666666666666667,remove,accuracy below threshold
77,control,1,remove,accuracy below threshold
77,inhib,0.9583333333333334,remove,accuracy below threshold
77,negative,0.9482758620689655,remove,accuracy below threshold
77,positive,0.8983050847457628,remove,accuracy below threshold
79,implicature,0.9661016949152542,remove,accuracy below threshold
79,unambiguous,0.9666666666666667,remove,accuracy below threshold
79,control,1,remove,accuracy below threshold
79,inhib,0.9166666666666666,remove,accuracy below threshold
79,negative,0,remove,accuracy below threshold
79,positive,0.9833333333333333,remove,accuracy below threshold
80,implicature,0.5932203389830508,remove,accuracy below threshold
80,unambiguous,0.95,remove,accuracy below threshold
80,control,0.9770992366412213,remove,accuracy below threshold
80,inhib,0.9166666666666666,remove,accuracy below threshold
80,negative,0.03333333333333333,remove,accuracy below threshold
80,positive,0.9333333333333333,remove,accuracy below threshold
